PDF File,Status,ROI,Signature_box,Error Message
278013.pdf,Failed,"[400, 612, 0, 168]",,Signature not detected
278130.pdf,Failed,"[368, 541, 0, 166]",,Signature not detected
278158.pdf,Failed,"[338, 543, 0, 146]",,Signature not detected
278167.pdf,Failed,"[368, 547, 0, 166]",,Signature not detected
278299.pdf,Failed,"[336, 543, 0, 145]",,Signature not detected
278659.pdf,Failed,"[377, 543, 0, 169]",,Signature not detected
278754.pdf,Failed,"[364, 542, 0, 167]",,Signature not detected
279112.pdf,Failed,"[365, 543, 0, 167]",,Signature not detected
279149.pdf,Failed,"[376, 543, 0, 167]",,Signature not detected
279197.pdf,Failed,"[338, 543, 0, 144]",,Signature not detected
279409.pdf,Failed,"[375, 544, 0, 196]",,Signature not detected
279411.pdf,Failed,"[374, 610, 0, 168]",,Signature not detected
279602.pdf,Failed,"[405, 612, 0, 170]",,Signature not detected
279686.pdf,Failed,"[338, 543, 0, 143]",,Signature not detected
279908.pdf,Failed,"[479, 612, 0, 167]",,Signature not detected
280276.pdf,Failed,"[403, 544, 0, 164]",,Signature not detected
280421.pdf,Failed,"[336, 541, 0, 142]",,Signature not detected
280501.pdf,Failed,"[335, 610, 0, 143]",,Signature not detected
280984.pdf,Failed,"[332, 607, 0, 144]",,Signature not detected
281423.pdf,Failed,"[334, 544, 0, 147]",,Signature not detected
281602.pdf,Failed,"[373, 551, 0, 168]",,Signature not detected
281641.pdf,Failed,"[409, 610, 0, 192]",,Signature not detected
281730.pdf,Failed,"[336, 543, 0, 147]",,Signature not detected
281882.pdf,Failed,"[377, 610, 0, 170]",,Signature not detected
282238.pdf,Failed,"[371, 549, 0, 165]",,Signature not detected
282499.pdf,Failed,"[392, 542, 0, 153]",,Signature not detected
282703.pdf,Failed,"[371, 547, 0, 167]",,Signature not detected
282940.pdf,Failed,"[367, 593, 0, 173]",,Signature not detected
283507.pdf,Failed,"[378, 610, 0, 167]",,Signature not detected
284323.pdf,Failed,"[338, 543, 0, 146]",,Signature not detected
284698.pdf,Failed,"[371, 543, 0, 167]",,Signature not detected
285487.pdf,Failed,"[336, 542, 0, 147]",,Signature not detected
287161.pdf,Failed,"[369, 543, 0, 168]",,Signature not detected
287179.pdf,Failed,"[363, 543, 0, 168]",,Signature not detected
287335.pdf,Failed,"[365, 539, 0, 169]",,Signature not detected
287503.pdf,Failed,"[337, 543, 0, 149]",,Signature not detected
287850.pdf,Failed,"[335, 543, 0, 147]",,Signature not detected
288383.pdf,Failed,"[342, 544, 0, 148]",,Signature not detected
288934.pdf,Failed,"[414, 612, 0, 170]",,Signature not detected
289158.pdf,Failed,"[373, 541, 0, 167]",,Signature not detected
289301.pdf,Failed,"[450, 612, 0, 169]",,Signature not detected
289411.pdf,Failed,"[506, 546, 0, 163]",,Signature not detected
289457.pdf,Failed,"[375, 543, 0, 166]",,Signature not detected
289856.pdf,Failed,"[341, 544, 0, 146]",,Signature not detected
290351.pdf,Failed,"[376, 547, 0, 170]",,Signature not detected
290611.pdf,Failed,"[529, 542, 0, 170]",,Signature not detected
290662.pdf,Failed,"[340, 543, 0, 146]",,Signature not detected
290727.pdf,Failed,"[443, 544, 0, 164]",,Signature not detected
290868.pdf,Failed,"[374, 544, 0, 169]",,Signature not detected
291736.pdf,Failed,"[376, 610, 0, 183]",,Signature not detected
291900.pdf,Failed,"[418, 612, 0, 149]",,Signature not detected
292485.pdf,Failed,"[362, 539, 0, 165]",,Signature not detected
292507.pdf,Failed,"[368, 542, 0, 164]",,Signature not detected
293425.pdf,Failed,"[368, 543, 0, 168]",,Signature not detected
293674.pdf,Failed,"[337, 543, 0, 142]",,Signature not detected
293706.pdf,Failed,"[439, 542, 0, 165]",,Signature not detected
293760.pdf,Failed,"[363, 610, 0, 165]",,Signature not detected
294109.pdf,Failed,"[339, 543, 0, 146]",,Signature not detected
294960.pdf,Failed,"[338, 544, 0, 148]",,Signature not detected
295185.pdf,Failed,"[377, 545, 0, 164]",,Signature not detected
295400.pdf,Failed,"[365, 544, 0, 166]",,Signature not detected
295797.pdf,Failed,"[338, 541, 0, 144]",,Signature not detected
295962.pdf,Failed,"[365, 543, 0, 164]",,Signature not detected
296393.pdf,Failed,"[340, 544, 0, 144]",,Signature not detected
296587.pdf,Failed,"[409, 612, 0, 149]",,Signature not detected
296880.pdf,Failed,"[375, 610, 0, 166]",,Signature not detected
296946.pdf,Failed,"[376, 544, 0, 165]",,Signature not detected
297093.pdf,Failed,"[362, 543, 0, 164]",,Signature not detected
297529.pdf,Failed,"[362, 539, 0, 167]",,Signature not detected
297956.pdf,Failed,"[361, 539, 0, 166]",,Signature not detected
298515.pdf,Failed,"[339, 544, 0, 145]",,Signature not detected
298703.pdf,Failed,"[374, 610, 0, 168]",,Signature not detected
298982.pdf,Failed,"[447, 612, 0, 170]",,Signature not detected
299591.pdf,Failed,"[339, 544, 0, 146]",,Signature not detected
300285.pdf,Failed,"[365, 544, 0, 166]",,Signature not detected
300335.pdf,Failed,"[371, 545, 0, 167]",,Signature not detected
300429.pdf,Failed,"[363, 544, 0, 166]",,Signature not detected
300466.pdf,Failed,"[336, 542, 0, 143]",,Signature not detected
300696.pdf,Failed,"[339, 544, 0, 144]",,Signature not detected
300797.pdf,Failed,"[341, 549, 0, 146]",,Signature not detected
301031.pdf,Failed,"[373, 544, 0, 167]",,Signature not detected
301264.pdf,Failed,"[373, 612, 0, 149]",,Signature not detected
301533.pdf,Failed,"[336, 543, 0, 152]",,Signature not detected
302632.pdf,Failed,"[341, 547, 0, 150]",,Signature not detected
303325.pdf,Failed,"[365, 543, 0, 168]",,Signature not detected
303908.pdf,Failed,"[341, 543, 0, 150]",,Signature not detected
304091.pdf,Failed,"[434, 543, 0, 165]",,Signature not detected
304230.pdf,Failed,"[338, 543, 0, 144]",,Signature not detected
304369.pdf,Failed,"[367, 542, 0, 163]",,Signature not detected
304841.pdf,Failed,"[397, 550, 0, 168]",,Signature not detected
305075.pdf,Failed,"[369, 544, 0, 166]",,Signature not detected
305397.pdf,Failed,"[405, 610, 0, 188]",,Signature not detected
305572.pdf,Failed,"[483, 543, 0, 170]",,Signature not detected
305641.pdf,Failed,"[343, 545, 0, 145]",,Signature not detected
305692.pdf,Failed,"[370, 543, 0, 168]",,Signature not detected
305859.pdf,Failed,"[379, 545, 0, 167]",,Signature not detected
306035.pdf,Failed,"[369, 545, 0, 166]",,Signature not detected
306859.pdf,Failed,"[371, 544, 0, 165]",,Signature not detected
307028.pdf,Failed,"[338, 572, 0, 148]",,Signature not detected
307311.pdf,Failed,"[363, 546, 0, 165]",,Signature not detected
309530.pdf,Failed,"[436, 543, 0, 165]",,Signature not detected
312349.pdf,Failed,"[373, 543, 0, 165]",,Signature not detected
312950.pdf,Failed,"[366, 544, 0, 165]",,Signature not detected
313033.pdf,Failed,"[365, 543, 0, 163]",,Signature not detected
319752.pdf,Failed,"[364, 543, 0, 168]",,Signature not detected
320486.pdf,Failed,"[338, 542, 0, 147]",,Signature not detected
321657.pdf,Failed,"[366, 543, 0, 165]",,Signature not detected
323301.pdf,Failed,"[339, 544, 0, 145]",,Signature not detected
