PDF File,Status,ROI,Signature_box,Error Message
274031.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
274267.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
274509.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
274635.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
274865.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
274888.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275000.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275267.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275366.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275712.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275778.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275787.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
275811.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
276025.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
276158.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
276255.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
276948.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277138.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277429.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277481.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277656.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277730.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277751.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277754.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277795.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277805.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277940.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
277946.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
278101.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
278161.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
278221.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
278423.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
278668.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
278874.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
279335.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
279391.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
279531.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
279706.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
280295.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
280307.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
280329.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
280950.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
281236.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
281942.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
281962.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282028.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282042.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282087.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282319.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282437.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282529.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282632.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282820.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
282930.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283039.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283063.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283152.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283185.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283232.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283293.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283421.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
283641.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284051.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284087.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284143.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284293.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284409.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284493.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284623.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284766.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284805.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
284962.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285201.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285301.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285451.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285523.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285575.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285760.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285817.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285898.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285922.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
285974.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
286442.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
286511.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
286671.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
286688.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
287403.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
287427.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
287715.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288025.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288069.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288087.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288307.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288363.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288548.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288647.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288656.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288690.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288826.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288868.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288892.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
288978.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
289299.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
289583.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
289688.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
289838.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290000.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290028.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290240.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290243.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290276.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290389.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290531.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290680.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290910.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
290998.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291048.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291081.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291354.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291363.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291372.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291485.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291880.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291940.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
291996.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292037.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292136.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292348.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292503.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292560.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292605.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292617.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292763.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
292900.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293164.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293387.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293674.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293686.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293932.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293938.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
293944.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
