PDF File,Status,ROI,Signature_box,Error Message
159215.pdf,Success,"[362, 540, 0, 166]","[[361.3776550292969, 141.541015625, 451.1891174316406, 165.6961212158203], [375.80816650390625, 104.42147827148438, 472.50830078125, 134.16688537597656], [361.2428283691406, 152.81419372558594, 453.70599365234375, 167.85609436035156]]",Processed successfully
159257.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
159312.pdf,Failed,"[377, 542, 0, 168]",NA,Signature not detected
159532.pdf,Success,"[340, 543, 0, 147]","[[368.7547912597656, 117.94959259033203, 497.91180419921875, 136.87564086914062]]",Processed successfully
159655.pdf,Failed,"[368, 544, 0, 167]",NA,Signature not detected
159809.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
160282.pdf,Success,"[362, 543, 0, 166]","[[361.37115478515625, 100.77627563476562, 510.1435852050781, 163.05674743652344]]",Processed successfully
160703.pdf,Success,"[336, 542, 0, 148]","[[374.7596740722656, 113.09732818603516, 500.6839599609375, 135.9320526123047]]",Processed successfully
160711.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
160787.pdf,Success,"[406, 612, 0, 171]","[[403.3741149902344, 120.45360565185547, 517.8622436523438, 148.09764099121094]]",Processed successfully
160915.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
161547.pdf,Success,"[368, 545, 0, 167]","[[389.39892578125, 115.32533264160156, 492.0547790527344, 137.34671020507812]]",Processed successfully
161660.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
162111.pdf,Success,"[369, 550, 0, 168]","[[380.09527587890625, 117.30426788330078, 483.25885009765625, 136.8463134765625], [367.19293212890625, 143.71539306640625, 463.7906494140625, 162.66758728027344]]",Processed successfully
162250.pdf,Success,"[341, 544, 0, 148]","[[410.8037109375, 115.99456024169922, 486.1812438964844, 134.37535095214844]]",Processed successfully
162365.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
162624.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
162640.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
163206.pdf,Success,"[371, 545, 0, 169]","[[397.0816345214844, 90.60444641113281, 485.53240966796875, 144.24887084960938], [366.9544982910156, 157.3851776123047, 457.14739990234375, 169.6072235107422]]",Processed successfully
163379.pdf,Failed,"[340, 544, 0, 146]",NA,Signature not detected
163434.pdf,Success,"[406, 542, 0, 166]","[[413.9219665527344, 115.36768341064453, 513.5927734375, 134.65005493164062]]",Processed successfully
164773.pdf,Failed,"[365, 542, 0, 167]",NA,Signature not detected
165533.pdf,Success,"[387, 543, 0, 167]","[[385.7230224609375, 153.690185546875, 493.1062927246094, 168.86148071289062], [394.6104736328125, 109.49185943603516, 442.6116638183594, 133.09312438964844]]",Processed successfully
165949.pdf,Success,"[337, 544, 0, 147]","[[372.52740478515625, 117.85713195800781, 501.1603698730469, 140.5728759765625]]",Processed successfully
166018.pdf,Failed,"[335, 542, 0, 143]",NA,Signature not detected
166270.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
166636.pdf,Success,"[409, 542, 0, 171]","[[405.8746643066406, 115.39398193359375, 524.8970336914062, 139.7995147705078]]",Processed successfully
166717.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
167331.pdf,Failed,"[377, 610, 0, 167]",NA,Signature not detected
167446.pdf,Success,"[414, 610, 0, 201]","[[416.4455871582031, 144.83290100097656, 536.144775390625, 171.0972137451172]]",Processed successfully
168028.pdf,Failed,"[401, 612, 0, 170]",NA,Signature not detected
168361.pdf,Success,"[375, 549, 0, 167]","[[374.5785827636719, 116.718994140625, 494.74786376953125, 136.978271484375], [373.3800964355469, 156.7734375, 459.2719421386719, 167.54368591308594]]",Processed successfully
170083.pdf,Success,"[370, 541, 0, 165]","[[368.4800109863281, 96.1180191040039, 461.7349853515625, 131.3577880859375]]",Processed successfully
170148.pdf,Failed,"[337, 543, 0, 149]",NA,Signature not detected
170635.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
171704.pdf,Success,"[376, 546, 0, 168]","[[518.4671630859375, 4.255187511444092, 537.0732421875, 22.6850528717041], [373.1408386230469, 86.69053649902344, 472.934326171875, 135.94271850585938]]",Processed successfully
171746.pdf,Success,"[366, 545, 0, 172]","[[400.5458068847656, 95.47479248046875, 510.9638671875, 144.85728454589844], [362.7433166503906, 146.25953674316406, 497.3357238769531, 172.2976531982422]]",Processed successfully
172792.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
