PDF File,Status,ROI,Signature_boxError Message
089012.pdf,Success,"[376, 557, 0, 188]","[[52.28828811645508, 106.79771423339844, 148.6400909423828, 137.90267944335938], [0.26640111207962036, 111.85442352294922, 21.336593627929688, 180.943359375], [26.065034866333008, 126.65878295898438, 45.045654296875, 155.55001831054688]]",Processed successfully
089185.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
089193.pdf,Success,"[362, 610, 0, 189]","[[0.0, 162.05967712402344, 59.80721664428711, 182.63973999023438], [17.425437927246094, 116.78936767578125, 82.90463256835938, 133.93153381347656]]",Processed successfully
089575.pdf,Success,"[362, 537, 0, 186]","[[14.423454284667969, 108.90404510498047, 123.41001892089844, 132.66136169433594]]",Processed successfully
089787.pdf,Success,"[381, 542, 0, 188]","[[0.0, 163.80780029296875, 41.14314651489258, 181.5826873779297], [96.44231414794922, 119.94075012207031, 117.92787170410156, 138.75213623046875], [0.6395743489265442, 107.4075927734375, 32.01790237426758, 140.6929931640625]]",Processed successfully
089826.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
090047.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
090398.pdf,Success,"[382, 543, 0, 190]","[[70.87303924560547, 108.05125427246094, 144.9523468017578, 149.81056213378906], [0.0, 116.54840087890625, 59.32757568359375, 135.86195373535156], [3.1767995357513428, 166.50831604003906, 64.46915435791016, 186.2709197998047]]",Processed successfully
090550.pdf,Success,"[382, 543, 0, 187]","[[0.0, 111.54969024658203, 146.28216552734375, 138.1202392578125], [8.711014747619629, 148.85806274414062, 37.6231803894043, 184.16775512695312]]",Processed successfully
091158.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
091425.pdf,Success,"[365, 543, 0, 185]","[[12.189218521118164, 163.20494079589844, 82.96574401855469, 183.43865966796875]]",Processed successfully
091726.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
091954.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
091962.pdf,Success,"[367, 545, 0, 187]","[[130.67041015625, 114.4375991821289, 152.7082977294922, 130.08663940429688], [30.27895736694336, 53.53230285644531, 104.17837524414062, 80.53919982910156], [82.39856719970703, 115.48844146728516, 129.93675231933594, 132.88528442382812], [17.861209869384766, 111.35240936279297, 92.87784576416016, 140.34349060058594]]",Processed successfully
092235.pdf,Failed,"[399, 610, 0, 206]",NA,Signature not detected
092293.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
092471.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
093451.pdf,Success,"[364, 542, 0, 189]","[[11.297544479370117, 122.78364562988281, 55.51639175415039, 139.2536163330078]]",Processed successfully
095110.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
095275.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
097730.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
097942.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
097984.pdf,Success,"[381, 543, 0, 183]","[[0.0, 108.83182525634766, 27.749940872192383, 128.2533721923828], [0.0, 161.81680297851562, 108.7427749633789, 182.06056213378906]]",Processed successfully
098304.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
106759.pdf,Success,"[365, 542, 0, 188]","[[17.90318489074707, 108.23500061035156, 77.67596435546875, 145.84803771972656]]",Processed successfully
107763.pdf,Success,"[374, 543, 0, 187]","[[101.5744400024414, 112.23413848876953, 165.30613708496094, 138.50558471679688], [0.0, 111.2488021850586, 101.06885528564453, 133.71450805664062], [0.0, 160.0760955810547, 8.691508293151855, 181.2943572998047]]",Processed successfully
108028.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
109359.pdf,Success,"[372, 551, 0, 189]","[[47.49746322631836, 106.69055938720703, 101.59860229492188, 137.5485382080078], [0.0, 162.40728759765625, 89.44429016113281, 186.420166015625]]",Processed successfully
109781.pdf,Success,"[357, 541, 0, 182]","[[0.09806878119707108, 170.54672241210938, 22.743200302124023, 179.55441284179688]]",Processed successfully
110473.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
110538.pdf,Success,"[367, 543, 0, 188]","[[99.68412017822266, 116.1372299194336, 154.7167510986328, 127.42516326904297], [22.676515579223633, 118.9079818725586, 84.95976257324219, 134.88584899902344]]",Processed successfully
110619.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
112564.pdf,Success,"[377, 542, 0, 187]","[[0.0, 159.32403564453125, 73.04712677001953, 184.81480407714844], [47.54854965209961, 111.12847137451172, 142.56187438964844, 136.90402221679688], [0.3159635066986084, 115.8448715209961, 36.83232879638672, 132.45310974121094]]",Processed successfully
113845.pdf,Success,"[374, 550, 0, 188]","[[45.56940460205078, 111.36015319824219, 128.7948455810547, 129.89437866210938], [8.153300285339355, 110.03687286376953, 145.9643096923828, 132.6610107421875], [1.3536767959594727, 108.69573974609375, 59.47732925415039, 133.8508758544922]]",Processed successfully
113968.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
115821.pdf,Success,"[372, 545, 0, 187]","[[81.7740707397461, 113.26322174072266, 148.03036499023438, 131.46957397460938], [73.92537689208984, 92.72270965576172, 148.51040649414062, 133.95327758789062], [3.381955146789551, 168.96417236328125, 119.3965072631836, 185.36790466308594], [11.841739654541016, 168.41500854492188, 80.34164428710938, 182.30711364746094]]",Processed successfully
118162.pdf,Success,"[406, 610, 0, 208]","[[4.714079856872559, 184.1208953857422, 108.97569274902344, 205.5951385498047]]",Processed successfully
119011.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
119273.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
121937.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
122551.pdf,Success,"[368, 543, 0, 187]","[[0.5510640144348145, 167.26416015625, 77.8619155883789, 183.82769775390625]]",Processed successfully
122616.pdf,Success,"[444, 543, 0, 184]","[[82.50379180908203, 14.983579635620117, 87.03080749511719, 18.631183624267578], [83.22744750976562, 15.870576858520508, 88.31647491455078, 18.480243682861328], [80.81657409667969, 14.966055870056152, 85.88089752197266, 18.245698928833008]]",Processed successfully
124325.pdf,Success,"[445, 612, 0, 191]","[[40.82291030883789, 118.01045227050781, 93.56991577148438, 145.39015197753906], [0.0, 170.26905822753906, 54.29362487792969, 185.62913513183594], [3.4287478923797607, 173.55484008789062, 39.07149124145508, 185.0617218017578]]",Processed successfully
124650.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
125266.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
126343.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
127674.pdf,Success,"[372, 545, 0, 185]","[[24.499069213867188, 107.7816162109375, 74.7044677734375, 132.7816925048828], [77.79962158203125, 99.3783187866211, 140.97238159179688, 140.57168579101562], [99.92053985595703, 178.2920379638672, 107.0294418334961, 184.50543212890625], [138.7257843017578, 16.092344284057617, 159.71112060546875, 36.699974060058594], [102.16566467285156, 179.08819580078125, 109.06536865234375, 184.8756103515625], [63.27299118041992, 0.0, 90.32808685302734, 18.53575325012207]]",Processed successfully
128248.pdf,Success,"[367, 544, 0, 186]","[[12.534807205200195, 107.66236114501953, 110.87449645996094, 134.45217895507812]]",Processed successfully
130520.pdf,Success,"[432, 612, 0, 190]","[[38.3981819152832, 121.97789001464844, 100.1084213256836, 146.36422729492188], [1.0550934076309204, 176.0941619873047, 18.1904296875, 187.50921630859375], [66.53218841552734, 121.93954467773438, 101.50495910644531, 141.03883361816406], [1.8496031761169434, 130.7781524658203, 30.701948165893555, 141.2397003173828]]",Processed successfully
130936.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
131063.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
131128.pdf,Failed,"[390, 543, 0, 187]",NA,Signature not detected
131623.pdf,Success,"[366, 543, 0, 188]","[[35.25528335571289, 112.76753234863281, 119.96238708496094, 132.61460876464844], [0.0, 155.45928955078125, 18.893747329711914, 181.4838104248047], [74.44673919677734, 148.33441162109375, 93.71733856201172, 183.7359619140625]]",Processed successfully
132263.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
132679.pdf,Success,"[404, 543, 0, 190]","[[35.79005432128906, 114.8217544555664, 75.26811218261719, 134.66233825683594]]",Processed successfully
134207.pdf,Success,"[369, 542, 0, 188]","[[8.446969032287598, 158.93325805664062, 30.996545791625977, 181.54464721679688], [25.673316955566406, 78.63533020019531, 86.21906280517578, 107.7811050415039]]",Processed successfully
135203.pdf,Success,"[367, 541, 0, 190]","[[31.970745086669922, 110.75245666503906, 97.61405181884766, 137.10931396484375]]",Processed successfully
138112.pdf,Success,"[406, 547, 0, 167]","[[61.9442024230957, 94.05470275878906, 126.03723907470703, 113.68535614013672], [0.19885878264904022, 93.9831314086914, 19.727170944213867, 112.32717895507812]]",Processed successfully
138942.pdf,Success,"[368, 542, 0, 187]","[[47.620391845703125, 121.31758880615234, 104.69110107421875, 131.0540008544922], [15.998778343200684, 119.76656341552734, 103.01567840576172, 134.11302185058594]]",Processed successfully
139003.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
139639.pdf,Success,"[401, 612, 0, 190]","[[36.30482864379883, 92.97991943359375, 74.00517272949219, 142.6990203857422], [82.38917541503906, 108.29759216308594, 101.68610382080078, 143.03619384765625]]",Processed successfully
140208.pdf,Success,"[367, 543, 0, 185]","[[16.48617935180664, 111.53662872314453, 86.12476348876953, 132.46458435058594], [0.0, 163.63739013671875, 26.661006927490234, 183.3801727294922]]",Processed successfully
141343.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
141636.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
142357.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
143549.pdf,Success,"[438, 612, 0, 212]","[[0.0, 138.53636169433594, 83.83324432373047, 167.2029266357422], [58.65010070800781, 183.421630859375, 111.64462280273438, 211.5529327392578], [2.1003637313842773, 148.37506103515625, 48.382568359375, 160.71592712402344], [1.9457979202270508, 185.94117736816406, 40.03670120239258, 211.74212646484375], [0.0, 185.12234497070312, 113.02268981933594, 210.07737731933594]]",Processed successfully
143816.pdf,Success,"[370, 543, 0, 186]","[[0.05443701893091202, 147.6277618408203, 14.477502822875977, 180.52279663085938]]",Processed successfully
144367.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
144896.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
145135.pdf,Success,"[374, 542, 0, 184]","[[0.0, 115.5302963256836, 65.83893585205078, 130.59010314941406], [0.0, 115.4333724975586, 159.41384887695312, 137.12013244628906]]",Processed successfully
145347.pdf,Success,"[372, 542, 0, 186]","[[0.1288047879934311, 117.32299041748047, 75.50843811035156, 134.56893920898438], [87.48837280273438, 116.90802001953125, 142.94918823242188, 132.32546997070312]]",Processed successfully
145915.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
146254.pdf,Success,"[438, 612, 0, 190]","[[0.9518561959266663, 152.0242462158203, 49.32333755493164, 183.43389892578125], [0.16039031744003296, 117.71807861328125, 78.95035552978516, 140.69480895996094], [0.6088347434997559, 118.08748626708984, 31.229639053344727, 140.93601989746094]]",Processed successfully
147179.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
147836.pdf,Success,"[373, 543, 0, 190]","[[83.09148406982422, 117.5106201171875, 150.34165954589844, 137.1537322998047], [53.851531982421875, 169.1201171875, 145.40158081054688, 188.45175170898438], [0.48349133133888245, 114.7013168334961, 87.01056671142578, 140.31988525390625]]",Processed successfully
148206.pdf,Success,"[380, 540, 0, 187]","[[51.63235092163086, 115.77323150634766, 146.82716369628906, 139.82504272460938], [0.0, 111.80232238769531, 71.81548309326172, 138.5558319091797], [103.1878890991211, 114.85721588134766, 147.0478973388672, 136.02394104003906]]",Processed successfully
148256.pdf,Success,"[369, 543, 0, 184]","[[66.87051391601562, 109.1130142211914, 147.19273376464844, 130.8496551513672], [14.722827911376953, 107.52803039550781, 141.3400421142578, 132.58392333984375]]",Processed successfully
148311.pdf,Success,"[402, 612, 0, 190]","[[23.188053131103516, 117.57208251953125, 79.00634765625, 145.2047119140625], [85.1845703125, 165.4287109375, 134.14889526367188, 187.6627655029297], [0.0, 159.4526824951172, 51.67056655883789, 188.6337127685547], [0.0, 151.42979431152344, 118.49544525146484, 189.7091522216797]]",Processed successfully
148387.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
148426.pdf,Success,"[368, 543, 0, 188]","[[0.30612850189208984, 110.3103256225586, 98.82019805908203, 133.28091430664062]]",Processed successfully
149155.pdf,Success,"[420, 610, 0, 205]","[[0.0, 129.64137268066406, 71.39676666259766, 153.41415405273438], [0.0, 175.5843963623047, 33.62263870239258, 201.48617553710938]]",Processed successfully
149634.pdf,Success,"[384, 544, 0, 189]","[[0.06306152790784836, 162.49444580078125, 54.371437072753906, 182.07720947265625], [0.0, 124.2711410522461, 60.624813079833984, 136.49571228027344], [72.57228088378906, 114.60977935791016, 129.4493865966797, 136.0387420654297]]",Processed successfully
149723.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
149773.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
150821.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
151233.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
151615.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
151649.pdf,Success,"[373, 550, 0, 188]","[[32.82499694824219, 162.65501403808594, 101.03449249267578, 186.26365661621094], [29.081748962402344, 153.16551208496094, 96.58375549316406, 164.46588134765625]]",Processed successfully
151924.pdf,Success,"[394, 542, 0, 186]","[[0.0, 164.6182861328125, 76.4781265258789, 179.26455688476562], [8.162007331848145, 110.17805480957031, 104.17021942138672, 141.84239196777344]]",Processed successfully
152475.pdf,Success,"[376, 544, 0, 187]","[[79.15174865722656, 106.31759643554688, 132.439208984375, 143.84463500976562], [60.29939651489258, 4.082516670227051, 97.9582748413086, 13.23039436340332]]",Processed successfully
152572.pdf,Success,"[427, 610, 0, 205]","[[46.549339294433594, 138.46485900878906, 111.31660461425781, 154.8843994140625], [4.722146987915039, 183.78485107421875, 40.63605499267578, 203.11444091796875]]",Processed successfully
152792.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
153277.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
153340.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
153798.pdf,Success,"[378, 542, 0, 184]","[[34.04437255859375, 118.2841567993164, 95.72570037841797, 132.5984344482422]]",Processed successfully
153829.pdf,Success,"[372, 543, 0, 191]","[[3.3840250968933105, 107.51712799072266, 138.9208526611328, 138.4874725341797]]",Processed successfully
154079.pdf,Success,"[414, 612, 0, 190]","[[47.56948471069336, 107.6332778930664, 104.54734802246094, 130.24661254882812]]",Processed successfully
154671.pdf,Success,"[386, 543, 0, 188]","[[27.24342155456543, 110.82807922363281, 119.7137222290039, 135.45382690429688], [0.43497005105018616, 174.89987182617188, 13.51722240447998, 187.75526428222656]]",Processed successfully
155855.pdf,Success,"[398, 543, 0, 185]","[[63.07014083862305, 107.2365493774414, 97.06344604492188, 137.52816772460938], [0.0, 165.28915405273438, 27.13478660583496, 178.04029846191406], [0.044831275939941406, 104.30293273925781, 34.97906494140625, 135.4394989013672]]",Processed successfully
156063.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
156356.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
156885.pdf,Success,"[432, 545, 0, 188]","[[40.24480056762695, 111.98088073730469, 77.56190490722656, 134.32720947265625], [2.8021299839019775, 107.66680145263672, 39.656314849853516, 133.3385009765625]]",Processed successfully
157572.pdf,Success,"[366, 542, 0, 189]","[[26.0084228515625, 92.96373748779297, 128.315673828125, 141.50164794921875], [4.598018646240234, 162.3665313720703, 82.58245849609375, 186.4737548828125], [25.364925384521484, 107.29283142089844, 101.09723663330078, 140.12020874023438], [77.18437957763672, 92.41952514648438, 128.6004638671875, 142.70423889160156]]",Processed successfully
157946.pdf,Success,"[365, 546, 0, 185]","[[27.9959716796875, 98.05757904052734, 151.89923095703125, 141.465576171875]]",Processed successfully
158455.pdf,Success,"[382, 543, 0, 187]","[[59.938968658447266, 107.14405822753906, 130.08004760742188, 138.62022399902344], [40.34449005126953, 169.5706787109375, 103.36331939697266, 185.2357177734375], [0.25974857807159424, 157.20436096191406, 21.849855422973633, 185.5809326171875], [4.534242153167725, 120.66337585449219, 47.01523971557617, 133.97451782226562]]",Processed successfully
158536.pdf,Success,"[375, 543, 0, 187]","[[0.0, 163.5167694091797, 58.13157272338867, 179.754638671875]]",Processed successfully
158879.pdf,Success,"[371, 543, 0, 190]","[[25.67207145690918, 108.19911193847656, 115.61515045166016, 135.64805603027344], [87.44670104980469, 145.62803649902344, 147.47373962402344, 183.04159545898438], [6.875194072723389, 160.1987762451172, 52.486228942871094, 187.82351684570312]]",Processed successfully
158934.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
159215.pdf,Success,"[362, 540, 0, 186]","[[26.3891658782959, 107.46820068359375, 111.71217346191406, 133.4982452392578], [0.0, 37.285064697265625, 1.8999820947647095, 43.352012634277344], [0.1887478083372116, 151.50985717773438, 40.656192779541016, 183.33505249023438]]",Processed successfully
159257.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
159312.pdf,Failed,"[377, 542, 0, 188]",NA,Signature not detected
159532.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
159655.pdf,Failed,"[368, 544, 0, 187]",NA,Signature not detected
159809.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
160282.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
160703.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
160711.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
160787.pdf,Success,"[406, 612, 0, 191]","[[14.983476638793945, 117.1777114868164, 105.86205291748047, 144.62095642089844], [0.46434491872787476, 120.10891723632812, 26.60807991027832, 141.5392303466797]]",Processed successfully
160915.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
161547.pdf,Success,"[368, 545, 0, 187]","[[38.08225631713867, 113.56199645996094, 123.35354614257812, 134.18402099609375], [28.52456283569336, 150.46087646484375, 116.22289276123047, 185.69140625]]",Processed successfully
161660.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
162111.pdf,Success,"[369, 550, 0, 188]","[[10.253036499023438, 115.70802307128906, 112.09783172607422, 135.47328186035156], [47.625221252441406, 168.66502380371094, 90.62357330322266, 187.15443420410156], [3.7031381130218506, 156.25930786132812, 88.68099975585938, 186.76022338867188]]",Processed successfully
162250.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
162365.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
162624.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
162640.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
163206.pdf,Success,"[371, 545, 0, 189]","[[50.446693420410156, 161.78721618652344, 79.59959411621094, 180.2772979736328], [34.95937728881836, 90.61017608642578, 74.67251586914062, 140.44102478027344]]",Processed successfully
163379.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
163434.pdf,Success,"[406, 542, 0, 186]","[[34.08906555175781, 116.39561462402344, 108.69725036621094, 133.47007751464844], [0.0, 162.94984436035156, 78.18882751464844, 180.5288848876953]]",Processed successfully
164773.pdf,Success,"[365, 542, 0, 187]","[[19.471376419067383, 114.18998718261719, 92.38261413574219, 137.20040893554688]]",Processed successfully
165533.pdf,Success,"[387, 543, 0, 187]","[[0.0, 151.9614715576172, 13.369121551513672, 185.12042236328125], [5.469759464263916, 110.66373443603516, 56.144256591796875, 133.02113342285156]]",Processed successfully
165949.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
166018.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
166270.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
166636.pdf,Success,"[409, 542, 0, 191]","[[1.0201990604400635, 115.64904022216797, 117.89178466796875, 138.92271423339844], [0.0, 116.80226135253906, 63.809722900390625, 138.54812622070312]]",Processed successfully
166717.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
167331.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
167446.pdf,Success,"[414, 610, 0, 221]","[[0.0, 144.98162841796875, 124.73495483398438, 172.3013916015625]]",Processed successfully
168028.pdf,Success,"[401, 612, 0, 190]","[[24.163143157958984, 116.87618255615234, 77.04914093017578, 138.52906799316406]]",Processed successfully
168361.pdf,Success,"[375, 549, 0, 187]","[[22.84841537475586, 118.26750946044922, 120.08564758300781, 137.7923126220703], [0.0, 156.96939086914062, 102.33782958984375, 183.3108367919922]]",Processed successfully
170083.pdf,Success,"[370, 541, 0, 185]","[[0.0, 159.10366821289062, 127.552978515625, 183.30535888671875], [42.512779235839844, 166.43844604492188, 125.82791137695312, 181.5245361328125], [48.571937561035156, 110.09566497802734, 92.98873901367188, 129.42715454101562], [0.0, 158.0841827392578, 36.129554748535156, 182.65321350097656]]",Processed successfully
170148.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
170635.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
171704.pdf,Success,"[376, 546, 0, 188]","[[142.3655242919922, 2.6944894790649414, 162.23165893554688, 22.396595001220703], [156.01956176757812, 129.34701538085938, 168.8316192626953, 186.40487670898438], [0.0, 85.1975326538086, 99.83549499511719, 134.94334411621094]]",Processed successfully
171746.pdf,Success,"[366, 545, 0, 192]","[[59.23444366455078, 154.07510375976562, 119.46234130859375, 187.24252319335938], [0.10309293866157532, 144.3607177734375, 20.174577713012695, 189.1659698486328], [60.50847625732422, 170.62649536132812, 119.63165283203125, 186.80015563964844], [82.04297637939453, 152.43032836914062, 112.04949188232422, 186.3650360107422], [29.715980529785156, 94.4002914428711, 143.8298797607422, 144.14512634277344]]",Processed successfully
172792.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
174485.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
175075.pdf,Success,"[380, 542, 0, 187]","[[72.93614959716797, 113.0577163696289, 126.23179626464844, 132.408935546875], [37.97808074951172, 116.17761993408203, 50.92481994628906, 134.71279907226562], [0.0, 119.43476867675781, 28.030961990356445, 149.6600341796875]]",Processed successfully
176005.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
176102.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
176437.pdf,Success,"[456, 542, 0, 186]","[[2.9062888622283936, 116.13019561767578, 54.1744499206543, 132.84181213378906]]",Processed successfully
176568.pdf,Success,"[406, 543, 0, 189]","[[7.1485090255737305, 120.61817169189453, 70.37824249267578, 142.1240234375]]",Processed successfully
176649.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
177603.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
