PDF File,Status,ROI,Error Message
298004.pdf,Success,"[365, 544, 0, 186]",Processed successfully
298006.pdf,Failed,NA,ROI not found or OCR error
298060.pdf,Failed,NA,ROI not found or OCR error
298075.pdf,Success,"[373, 544, 0, 183]",Processed successfully
298083.pdf,Failed,NA,ROI not found or OCR error
298105.pdf,Success,"[391, 545, 0, 184]",Processed successfully
298127.pdf,Failed,NA,ROI not found or OCR error
298152.pdf,Success,"[364, 547, 0, 185]",Processed successfully
298161.pdf,Failed,NA,ROI not found or OCR error
298164.pdf,Success,"[366, 544, 0, 187]",Processed successfully
298179.pdf,Failed,NA,ROI not found or OCR error
298203.pdf,Failed,NA,ROI not found or OCR error
298209.pdf,Success,"[399, 610, 0, 187]",Processed successfully
298249.pdf,Failed,NA,ROI not found or OCR error
298252.pdf,Success,"[482, 612, 0, 210]",Processed successfully
298283.pdf,Failed,NA,ROI not found or OCR error
298307.pdf,Success,"[364, 544, 0, 185]",Processed successfully
298387.pdf,Success,"[364, 543, 0, 187]",Processed successfully
298391.pdf,Failed,NA,ROI not found or OCR error
298393.pdf,Success,"[386, 544, 0, 186]",Processed successfully
298487.pdf,Success,"[365, 545, 0, 184]",Processed successfully
298509.pdf,Failed,NA,ROI not found or OCR error
298515.pdf,Failed,NA,ROI not found or OCR error
298589.pdf,Failed,NA,ROI not found or OCR error
298656.pdf,Failed,NA,ROI not found or OCR error
298692.pdf,Failed,NA,ROI not found or OCR error
298700.pdf,Success,"[366, 545, 0, 185]",Processed successfully
298703.pdf,Failed,NA,ROI not found or OCR error
298727.pdf,Success,"[366, 545, 0, 184]",Processed successfully
298757.pdf,Failed,NA,ROI not found or OCR error
298799.pdf,Success,"[362, 543, 0, 186]",Processed successfully
298814.pdf,Success,"[365, 544, 0, 185]",Processed successfully
298832.pdf,Success,"[365, 544, 0, 185]",Processed successfully
298862.pdf,Success,"[365, 544, 0, 188]",Processed successfully
298871.pdf,Failed,NA,ROI not found or OCR error
298912.pdf,Failed,NA,ROI not found or OCR error
298960.pdf,Success,"[364, 546, 0, 186]",Processed successfully
298974.pdf,Failed,NA,ROI not found or OCR error
298982.pdf,Success,"[447, 612, 0, 190]",Processed successfully
299031.pdf,Failed,NA,ROI not found or OCR error
299083.pdf,Success,"[369, 549, 0, 183]",Processed successfully
299127.pdf,Success,"[366, 545, 0, 184]",Processed successfully
299161.pdf,Failed,NA,ROI not found or OCR error
299221.pdf,Success,"[364, 543, 0, 184]",Processed successfully
299240.pdf,Failed,NA,ROI not found or OCR error
299252.pdf,Failed,NA,ROI not found or OCR error
299261.pdf,Success,"[366, 545, 0, 144]",Processed successfully
299321.pdf,Success,"[360, 542, 0, 185]",Processed successfully
299403.pdf,Success,"[362, 540, 0, 192]",Processed successfully
299409.pdf,Failed,NA,ROI not found or OCR error
299413.pdf,Success,"[361, 541, 0, 188]",Processed successfully
299460.pdf,Success,"[371, 545, 0, 187]",Processed successfully
299581.pdf,Failed,NA,ROI not found or OCR error
299583.pdf,Success,"[373, 542, 0, 181]",Processed successfully
299591.pdf,Failed,NA,ROI not found or OCR error
299608.pdf,Failed,NA,ROI not found or OCR error
299644.pdf,Failed,NA,ROI not found or OCR error
299692.pdf,Success,"[365, 544, 0, 186]",Processed successfully
299700.pdf,Failed,NA,ROI not found or OCR error
299789.pdf,Failed,NA,ROI not found or OCR error
299880.pdf,Failed,NA,ROI not found or OCR error
299894.pdf,Success,"[368, 547, 0, 191]",Processed successfully
299922.pdf,Success,"[386, 549, 0, 180]",Processed successfully
299928.pdf,Success,"[401, 612, 0, 196]",Processed successfully
299932.pdf,Success,"[367, 550, 0, 186]",Processed successfully
299958.pdf,Success,"[366, 546, 0, 215]",Processed successfully
299990.pdf,Success,"[365, 545, 0, 185]",Processed successfully
299998.pdf,Success,"[365, 544, 0, 190]",Processed successfully
300013.pdf,Success,"[366, 545, 0, 183]",Processed successfully
300028.pdf,Failed,"Unexpected error: Unable to allocate 26.1 MiB for an array with shape (6, 172, 6625) and data type float32"
300039.pdf,Failed,Unexpected error: could not create a primitive
300063.pdf,Failed,Unexpected error: could not create a primitive
300124.pdf,Failed,Unexpected error: could not create a primitive
300140.pdf,Failed,Unexpected error: could not create a primitive
300164.pdf,Failed,Unexpected error: could not create a primitive
300267.pdf,Failed,Unexpected error: could not create a primitive
300285.pdf,Failed,"Unexpected error: Unable to allocate 30.3 MiB for an array with shape (6, 200, 6625) and data type float32"
300303.pdf,Failed,Unexpected error: could not create a primitive
300305.pdf,Failed,Unexpected error: could not create a primitive
300313.pdf,Success,"[363, 543, 0, 186]",Processed successfully
300335.pdf,Failed,"Unexpected error: Unable to allocate 27.1 MiB for an array with shape (6, 179, 6625) and data type float32"
300363.pdf,Failed,Unexpected error: could not create a primitive
300429.pdf,Failed,Unexpected error: could not create a primitive
300466.pdf,Failed,Unexpected error: could not create a primitive
300513.pdf,Failed,Unexpected error: could not create a primitive
300585.pdf,Failed,Unexpected error: could not create a primitive
300593.pdf,Failed,Unexpected error: could not create a primitive
300614.pdf,Failed,Unexpected error: could not create a primitive
300668.pdf,Failed,Unexpected error: could not create a primitive
300696.pdf,Failed,Unexpected error: could not create a primitive
300797.pdf,Failed,Unexpected error: could not create a primitive
300799.pdf,Failed,Unexpected error: could not create a primitive
300835.pdf,Failed,Unexpected error: could not create a primitive
300847.pdf,Failed,Unexpected error: could not create a primitive
300882.pdf,Failed,Unexpected error: could not create a primitive
300908.pdf,Failed,Unexpected error: could not create a primitive
300962.pdf,Failed,Unexpected error: could not create a primitive
300998.pdf,Failed,Unexpected error: could not create a primitive
301025.pdf,Failed,Unexpected error: could not create a primitive
301031.pdf,Failed,Unexpected error: could not create a primitive
301039.pdf,Failed,Unexpected error: could not create a primitive
301081.pdf,Failed,Unexpected error: could not create a primitive
301121.pdf,Failed,Unexpected error: could not create a primitive
301146.pdf,Failed,Unexpected error: could not create a primitive
301164.pdf,Failed,Unexpected error: could not create a primitive
301167.pdf,Failed,Unexpected error: could not create a primitive
301176.pdf,Failed,Unexpected error: could not create a primitive
301207.pdf,Failed,Unexpected error: could not create a primitive
301215.pdf,Failed,Unexpected error: could not create a primitive
301227.pdf,Failed,Unexpected error: could not create a primitive
301230.pdf,Failed,Unexpected error: could not create a primitive
301232.pdf,Failed,Unexpected error: could not create a primitive
301243.pdf,Failed,Unexpected error: could not create a primitive
301264.pdf,Failed,"Unexpected error: Unable to allocate 5.57 MiB for an array with shape (800, 608, 3) and data type float32"
301270.pdf,Failed,"Unexpected error: Unable to allocate 5.57 MiB for an array with shape (800, 608, 3) and data type float32"
301319.pdf,Failed,"Unexpected error: Unable to allocate 1.79 MiB for an array with shape (288, 544, 3) and data type float32"
301393.pdf,Failed,"Unexpected error: Unable to allocate 5.57 MiB for an array with shape (800, 608, 3) and data type float32"
301405.pdf,Failed,Unexpected error: could not create a primitive
301451.pdf,Failed,Unexpected error: could not create a primitive
301503.pdf,Failed,"Unexpected error: Unable to allocate 5.57 MiB for an array with shape (800, 608, 3) and data type float32"
301507.pdf,Failed,"Unexpected error: Unable to allocate 5.57 MiB for an array with shape (800, 608, 3) and data type float32"
301533.pdf,Failed,Unexpected error: could not create a primitive
301694.pdf,Failed,Unexpected error: could not create a primitive
301730.pdf,Failed,Unexpected error: could not create a primitive
301748.pdf,Failed,Unexpected error: could not create a primitive
301754.pdf,Failed,Unexpected error: could not create a primitive
301783.pdf,Failed,Unexpected error: could not create a primitive
301791.pdf,Failed,Unexpected error: could not create a primitive
301930.pdf,Failed,Unexpected error: could not create a primitive
301960.pdf,Failed,Unexpected error: could not create a primitive
301994.pdf,Failed,"Unexpected error: Unable to allocate 26.1 MiB for an array with shape (6, 172, 6625) and data type float32"
302025.pdf,Failed,"Unexpected error: Unable to allocate 18.7 MiB for an array with shape (4, 185, 6625) and data type float32"
302051.pdf,Failed,Unexpected error: could not create a primitive
302091.pdf,Failed,Unexpected error: could not create a primitive
302130.pdf,Failed,Unexpected error: could not create a primitive
302143.pdf,Failed,Unexpected error: could not create a primitive
302170.pdf,Failed,Unexpected error: could not create a primitive
