PDF File,Status,ROI,Error Message
196893.pdf,Success,"[377, 543, 0, 188]",Processed successfully
197124.pdf,Success,"[376, 558, 0, 188]",Processed successfully
197459.pdf,Failed,NA,ROI not found or OCR error
197483.pdf,Success,"[371, 543, 0, 184]",Processed successfully
198065.pdf,Success,"[368, 544, 0, 189]",Processed successfully
198502.pdf,Success,"[381, 546, 0, 190]",Processed successfully
198764.pdf,Success,"[367, 543, 0, 189]",Processed successfully
198798.pdf,Success,"[418, 543, 0, 191]",Processed successfully
199118.pdf,Success,"[454, 612, 0, 191]",Processed successfully
199540.pdf,Success,"[368, 544, 0, 189]",Processed successfully
199948.pdf,Success,"[368, 542, 0, 189]",Processed successfully
200498.pdf,Failed,NA,ROI not found or OCR error
201012.pdf,Success,"[380, 545, 0, 187]",Processed successfully
201127.pdf,Success,"[368, 543, 0, 189]",Processed successfully
201478.pdf,Failed,NA,ROI not found or OCR error
201711.pdf,Success,"[410, 612, 0, 193]",Processed successfully
201965.pdf,Success,"[374, 554, 0, 189]",Processed successfully
202181.pdf,Failed,NA,ROI not found or OCR error
202220.pdf,Failed,NA,ROI not found or OCR error
203064.pdf,Success,"[367, 543, 0, 187]",Processed successfully
203666.pdf,Success,"[380, 540, 0, 187]",Processed successfully
203909.pdf,Success,"[379, 544, 0, 186]",Processed successfully
204052.pdf,Failed,NA,ROI not found or OCR error
204167.pdf,Success,"[368, 542, 0, 187]",Processed successfully
204905.pdf,Failed,NA,ROI not found or OCR error
205537.pdf,Failed,NA,ROI not found or OCR error
205553.pdf,Failed,NA,ROI not found or OCR error
206004.pdf,Success,"[450, 612, 0, 210]",Processed successfully
206737.pdf,Success,"[380, 547, 0, 186]",Processed successfully
206753.pdf,Success,"[365, 539, 0, 188]",Processed successfully
206761.pdf,Failed,NA,ROI not found or OCR error
206931.pdf,Success,"[379, 543, 0, 188]",Processed successfully
206999.pdf,Success,"[372, 610, 0, 187]",Processed successfully
207254.pdf,Failed,NA,ROI not found or OCR error
207385.pdf,Failed,NA,ROI not found or OCR error
207848.pdf,Success,"[432, 612, 0, 210]",Processed successfully
