PDF File,Status,ROI,Signature_box,Error Message
277940.pdf,Failed,,,ROI not found or OCR error
277946.pdf,Failed,,,ROI not found or OCR error
278101.pdf,Failed,,,ROI not found or OCR error
278161.pdf,Failed,,,ROI not found or OCR error
278221.pdf,Failed,,,ROI not found or OCR error
278423.pdf,Failed,,,ROI not found or OCR error
278668.pdf,Failed,,,ROI not found or OCR error
278874.pdf,Failed,,,ROI not found or OCR error
279335.pdf,Failed,,,ROI not found or OCR error
279391.pdf,Failed,,,ROI not found or OCR error
279706.pdf,Failed,,,ROI not found or OCR error
280295.pdf,Failed,,,ROI not found or OCR error
280307.pdf,Failed,,,ROI not found or OCR error
280329.pdf,Failed,,,ROI not found or OCR error
280950.pdf,Failed,,,ROI not found or OCR error
281236.pdf,Failed,,,ROI not found or OCR error
281942.pdf,Failed,,,ROI not found or OCR error
281962.pdf,Failed,,,ROI not found or OCR error
282028.pdf,Failed,,,ROI not found or OCR error
282042.pdf,Failed,,,ROI not found or OCR error
282087.pdf,Failed,,,ROI not found or OCR error
282319.pdf,Failed,,,ROI not found or OCR error
282437.pdf,Failed,,,ROI not found or OCR error
282529.pdf,Failed,,,ROI not found or OCR error
282632.pdf,Failed,,,ROI not found or OCR error
282820.pdf,Failed,,,ROI not found or OCR error
282930.pdf,Failed,,,ROI not found or OCR error
283039.pdf,Failed,,,ROI not found or OCR error
283063.pdf,Failed,,,ROI not found or OCR error
283152.pdf,Failed,,,ROI not found or OCR error
283185.pdf,Failed,,,ROI not found or OCR error
283232.pdf,Failed,,,ROI not found or OCR error
283293.pdf,Failed,,,ROI not found or OCR error
283421.pdf,Failed,,,ROI not found or OCR error
283641.pdf,Failed,,,ROI not found or OCR error
284051.pdf,Failed,,,ROI not found or OCR error
284087.pdf,Failed,,,ROI not found or OCR error
284143.pdf,Failed,,,ROI not found or OCR error
284293.pdf,Failed,,,ROI not found or OCR error
284409.pdf,Failed,,,ROI not found or OCR error
284493.pdf,Failed,,,ROI not found or OCR error
284623.pdf,Failed,,,ROI not found or OCR error
284766.pdf,Failed,,,ROI not found or OCR error
284805.pdf,Failed,,,ROI not found or OCR error
284962.pdf,Failed,,,ROI not found or OCR error
285201.pdf,Failed,,,ROI not found or OCR error
285301.pdf,Failed,,,ROI not found or OCR error
285451.pdf,Failed,,,ROI not found or OCR error
285523.pdf,Failed,,,ROI not found or OCR error
285575.pdf,Failed,,,ROI not found or OCR error
285760.pdf,Failed,,,ROI not found or OCR error
285817.pdf,Failed,,,ROI not found or OCR error
285922.pdf,Failed,,,ROI not found or OCR error
285974.pdf,Failed,,,ROI not found or OCR error
286442.pdf,Failed,,,ROI not found or OCR error
286511.pdf,Failed,,,ROI not found or OCR error
286671.pdf,Failed,,,ROI not found or OCR error
286688.pdf,Failed,,,ROI not found or OCR error
287403.pdf,Failed,,,ROI not found or OCR error
287427.pdf,Failed,,,ROI not found or OCR error
287715.pdf,Failed,,,ROI not found or OCR error
288025.pdf,Failed,,,ROI not found or OCR error
288069.pdf,Failed,,,ROI not found or OCR error
288087.pdf,Failed,,,ROI not found or OCR error
288307.pdf,Failed,,,ROI not found or OCR error
288363.pdf,Failed,,,ROI not found or OCR error
288548.pdf,Failed,,,ROI not found or OCR error
288647.pdf,Failed,,,ROI not found or OCR error
288656.pdf,Failed,,,ROI not found or OCR error
288690.pdf,Failed,,,ROI not found or OCR error
288826.pdf,Failed,,,ROI not found or OCR error
288868.pdf,Failed,,,ROI not found or OCR error
288892.pdf,Failed,,,ROI not found or OCR error
288978.pdf,Failed,,,ROI not found or OCR error
289299.pdf,Failed,,,ROI not found or OCR error
289583.pdf,Failed,,,ROI not found or OCR error
289688.pdf,Failed,,,ROI not found or OCR error
289838.pdf,Failed,,,ROI not found or OCR error
290000.pdf,Failed,,,ROI not found or OCR error
290240.pdf,Failed,,,ROI not found or OCR error
290243.pdf,Failed,,,ROI not found or OCR error
290276.pdf,Failed,,,ROI not found or OCR error
290389.pdf,Failed,,,ROI not found or OCR error
290531.pdf,Failed,,,ROI not found or OCR error
290680.pdf,Failed,,,ROI not found or OCR error
290910.pdf,Failed,,,ROI not found or OCR error
290998.pdf,Failed,,,ROI not found or OCR error
291048.pdf,Failed,,,ROI not found or OCR error
291081.pdf,Failed,,,ROI not found or OCR error
291354.pdf,Failed,,,ROI not found or OCR error
291363.pdf,Failed,,,ROI not found or OCR error
291372.pdf,Failed,,,ROI not found or OCR error
291485.pdf,Failed,,,ROI not found or OCR error
291880.pdf,Failed,,,ROI not found or OCR error
291940.pdf,Failed,,,ROI not found or OCR error
291996.pdf,Failed,,,ROI not found or OCR error
292037.pdf,Failed,,,ROI not found or OCR error
292136.pdf,Failed,,,ROI not found or OCR error
292348.pdf,Failed,,,ROI not found or OCR error
292503.pdf,Failed,,,ROI not found or OCR error
292560.pdf,Failed,,,ROI not found or OCR error
292605.pdf,Failed,,,ROI not found or OCR error
292617.pdf,Failed,,,ROI not found or OCR error
292763.pdf,Failed,,,ROI not found or OCR error
292900.pdf,Failed,,,ROI not found or OCR error
293164.pdf,Failed,,,ROI not found or OCR error
293387.pdf,Failed,,,ROI not found or OCR error
293686.pdf,Failed,,,ROI not found or OCR error
293932.pdf,Failed,,,ROI not found or OCR error
293938.pdf,Failed,,,ROI not found or OCR error
293944.pdf,Failed,,,ROI not found or OCR error
294057.pdf,Failed,,,ROI not found or OCR error
294087.pdf,Failed,,,ROI not found or OCR error
294454.pdf,Failed,,,ROI not found or OCR error
294948.pdf,Failed,,,ROI not found or OCR error
295013.pdf,Failed,,,ROI not found or OCR error
295093.pdf,Failed,,,ROI not found or OCR error
295438.pdf,Failed,,,ROI not found or OCR error
295641.pdf,Failed,,,ROI not found or OCR error
295733.pdf,Failed,,,ROI not found or OCR error
295926.pdf,Failed,,,ROI not found or OCR error
295984.pdf,Failed,,,ROI not found or OCR error
296093.pdf,Failed,,,ROI not found or OCR error
296185.pdf,Failed,,,ROI not found or OCR error
296360.pdf,Failed,,,ROI not found or OCR error
296395.pdf,Failed,,,ROI not found or OCR error
296431.pdf,Failed,,,ROI not found or OCR error
296589.pdf,Failed,,,ROI not found or OCR error
296742.pdf,Failed,,,ROI not found or OCR error
296745.pdf,Failed,,,ROI not found or OCR error
296811.pdf,Failed,,,ROI not found or OCR error
296829.pdf,Failed,,,ROI not found or OCR error
296859.pdf,Failed,,,ROI not found or OCR error
296862.pdf,Failed,,,ROI not found or OCR error
296962.pdf,Failed,,,ROI not found or OCR error
297193.pdf,Failed,,,ROI not found or OCR error
297227.pdf,Failed,,,ROI not found or OCR error
297301.pdf,Failed,,,ROI not found or OCR error
297417.pdf,Failed,,,ROI not found or OCR error
297644.pdf,Failed,,,ROI not found or OCR error
297736.pdf,Failed,,,ROI not found or OCR error
297910.pdf,Failed,,,ROI not found or OCR error
297926.pdf,Failed,,,ROI not found or OCR error
297982.pdf,Failed,,,ROI not found or OCR error
298006.pdf,Failed,,,ROI not found or OCR error
298083.pdf,Failed,,,ROI not found or OCR error
298127.pdf,Failed,,,ROI not found or OCR error
298203.pdf,Failed,,,ROI not found or OCR error
298249.pdf,Failed,,,ROI not found or OCR error
298283.pdf,Failed,,,ROI not found or OCR error
298509.pdf,Failed,,,ROI not found or OCR error
298589.pdf,Failed,,,ROI not found or OCR error
298757.pdf,Failed,,,ROI not found or OCR error
298871.pdf,Failed,,,ROI not found or OCR error
298974.pdf,Failed,,,ROI not found or OCR error
299161.pdf,Failed,,,ROI not found or OCR error
299240.pdf,Failed,,,ROI not found or OCR error
299608.pdf,Failed,,,ROI not found or OCR error
299644.pdf,Failed,,,ROI not found or OCR error
299700.pdf,Failed,,,ROI not found or OCR error
299789.pdf,Failed,,,ROI not found or OCR error
300039.pdf,Failed,,,ROI not found or OCR error
300140.pdf,Failed,,,ROI not found or OCR error
300164.pdf,Failed,,,ROI not found or OCR error
300267.pdf,Failed,,,ROI not found or OCR error
300305.pdf,Failed,,,ROI not found or OCR error
301081.pdf,Failed,,,ROI not found or OCR error
301121.pdf,Failed,,,ROI not found or OCR error
301164.pdf,Failed,,,ROI not found or OCR error
301270.pdf,Failed,,,ROI not found or OCR error
301319.pdf,Failed,,,ROI not found or OCR error
301393.pdf,Failed,,,ROI not found or OCR error
301791.pdf,Failed,,,ROI not found or OCR error
301994.pdf,Failed,,,ROI not found or OCR error
302249.pdf,Failed,,,ROI not found or OCR error
302437.pdf,Failed,,,ROI not found or OCR error
302478.pdf,Failed,,,ROI not found or OCR error
302629.pdf,Failed,,,ROI not found or OCR error
302847.pdf,Failed,,,ROI not found or OCR error
302859.pdf,Failed,,,ROI not found or OCR error
303037.pdf,Failed,,,ROI not found or OCR error
303060.pdf,Failed,,,ROI not found or OCR error
303149.pdf,Failed,,,ROI not found or OCR error
303360.pdf,Failed,,,ROI not found or OCR error
303823.pdf,Failed,,,ROI not found or OCR error
304124.pdf,Failed,,,ROI not found or OCR error
304587.pdf,Failed,,,ROI not found or OCR error
304805.pdf,Failed,,,ROI not found or OCR error
305189.pdf,Failed,,,ROI not found or OCR error
305626.pdf,Failed,,,ROI not found or OCR error
305920.pdf,Failed,,,ROI not found or OCR error
305944.pdf,Failed,,,ROI not found or OCR error
306333.pdf,Failed,,,ROI not found or OCR error
306566.pdf,Failed,,,ROI not found or OCR error
306916.pdf,Failed,,,ROI not found or OCR error
306944.pdf,Failed,,,ROI not found or OCR error
306958.pdf,Failed,,,ROI not found or OCR error
307103.pdf,Failed,,,ROI not found or OCR error
307197.pdf,Failed,,,ROI not found or OCR error
307299.pdf,Failed,,,ROI not found or OCR error
307321.pdf,Failed,,,ROI not found or OCR error
307351.pdf,Failed,,,ROI not found or OCR error
307363.pdf,Failed,,,ROI not found or OCR error
307407.pdf,Failed,,,ROI not found or OCR error
307425.pdf,Failed,,,ROI not found or OCR error
307427.pdf,Failed,,,ROI not found or OCR error
311538.pdf,Failed,,,ROI not found or OCR error
311555.pdf,Failed,,,ROI not found or OCR error
312185.pdf,Failed,,,ROI not found or OCR error
313743.pdf,Failed,,,ROI not found or OCR error
317002.pdf,Failed,,,ROI not found or OCR error
