PDF File,Status,ROI,Signature_box,Error Message
135203.pdf,Success,"[367, 541, 0, 170]","[[399.5880126953125, 109.6877212524414, 466.1199951171875, 136.65638732910156], [367.55633544921875, 137.09144592285156, 492.75628662109375, 169.17706298828125]]",Processed successfully
138112.pdf,Success,"[406, 547, 0, 147]","[[410.40887451171875, 90.33769989013672, 529.6043090820312, 118.07405090332031]]",Processed successfully
138942.pdf,Success,"[368, 542, 0, 167]","[[380.5107727050781, 120.81922912597656, 493.27862548828125, 134.1375274658203]]",Processed successfully
139639.pdf,Success,"[401, 612, 0, 170]","[[412.2011413574219, 93.073974609375, 503.3861999511719, 151.56610107421875]]",Processed successfully
140208.pdf,Success,"[367, 543, 0, 165]","[[411.682861328125, 15.563380241394043, 515.37451171875, 105.99482727050781], [382.9681701660156, 109.86042022705078, 451.5366516113281, 133.3792724609375]]",Processed successfully
141343.pdf,Success,"[342, 545, 0, 142]","[[429.4981689453125, 115.6556167602539, 526.598388671875, 132.50399780273438]]",Processed successfully
141636.pdf,Success,"[339, 543, 0, 151]","[[368.6518859863281, 124.3912582397461, 428.6005859375, 138.8722686767578], [447.7354736328125, 114.47030639648438, 523.4179077148438, 138.107177734375]]",Processed successfully
143549.pdf,Success,"[438, 612, 0, 192]","[[442.4412841796875, 139.7049560546875, 521.8944091796875, 169.17135620117188]]",Processed successfully
143816.pdf,Success,"[370, 543, 0, 166]","[[371.4440612792969, 147.15882873535156, 383.6920166015625, 165.58700561523438]]",Processed successfully
144896.pdf,Success,"[340, 543, 0, 150]","[[377.5375671386719, 114.40121459960938, 504.419677734375, 137.82960510253906]]",Processed successfully
145347.pdf,Success,"[372, 542, 0, 166]","[[373.5488586425781, 114.7848129272461, 518.0331420898438, 133.81884765625], [371.9352111816406, 154.52044677734375, 458.2068786621094, 167.27044677734375]]",Processed successfully
147836.pdf,Success,"[373, 543, 0, 170]","[[375.78631591796875, 112.12946319580078, 524.0326538085938, 140.2169647216797], [372.0462646484375, 151.50759887695312, 429.8417663574219, 169.4373016357422]]",Processed successfully
148206.pdf,Success,"[380, 540, 0, 167]","[[380.7431640625, 108.56464385986328, 523.7423095703125, 137.60618591308594], [379.6451416015625, 18.90250015258789, 521.7460327148438, 127.40425872802734]]",Processed successfully
148256.pdf,Success,"[369, 543, 0, 164]","[[368.7400207519531, 103.32695770263672, 518.4880981445312, 134.7596435546875]]",Processed successfully
148311.pdf,Success,"[402, 612, 0, 170]","[[403.1615295410156, 110.89823150634766, 483.2979736328125, 149.2877960205078]]",Processed successfully
148387.pdf,Success,"[341, 543, 0, 147]","[[380.8014831542969, 122.2463150024414, 442.9419250488281, 136.70046997070312]]",Processed successfully
149155.pdf,Success,"[420, 610, 0, 185]","[[421.796630859375, 132.09002685546875, 491.44427490234375, 151.83718872070312]]",Processed successfully
149634.pdf,Success,"[384, 544, 0, 169]","[[384.5195617675781, 30.970611572265625, 500.1554870605469, 89.58173370361328]]",Processed successfully
